ngcid,yearOfDiscovery,firstname,middlenames,lastname,yearOfBirth,yearOfDeath,telType,telInch
0001,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0002,1873,Lawrence,,Parsons,1840,1908,Reflector,72
0003,1864,Albert,,Marth,1828,1897,Reflector,48
0004,1864,Albert,,Marth,1828,1897,Reflector,48
0005,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0006,1885,Lewis,,Swift,1820,1913,Refractor,16
0007,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0008,1865,Otto,Wilhelm,von Struve,1819,1905,Refractor,15
0009,1865,Otto,Wilhelm,von Struve,1819,1905,Refractor,15
0010,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0011,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0012,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0013,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0014,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0015,1864,Albert,,Marth,1828,1897,Reflector,48
0016,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0017,1886,Frank,,Muller,1862,1917,Refractor,26
0018,1866,Per,Magnus Herman,Schultz,1823,1890,Refractor,9.6
0019,1885,Lewis,,Swift,1820,1913,Refractor,16
0020,1857,William,,Parsons,1800,1867,Reflector,72
0021,1885,Lewis,,Swift,1820,1913,Refractor,16
0022,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0023,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0024,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0025,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0026,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0027,1884,Lewis,,Swift,1820,1913,Refractor,16
0028,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0029,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0030,1864,Albert,,Marth,1828,1897,Reflector,48
0031,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0032,1861,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
0033,1864,Albert,,Marth,1828,1897,Reflector,48
0034,1886,Lewis,,Swift,1820,1913,Refractor,16
0035,1886,Lewis,,Swift,1820,1913,Refractor,16
0036,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0037,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0038,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0039,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0040,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0041,1864,Albert,,Marth,1828,1897,Reflector,48
0042,1864,Albert,,Marth,1828,1897,Reflector,48
0043,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0044,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0045,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0046,1852,Edward,Joshua,Cooper,1798,1863,Refractor,13.5
0047,1886,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0048,1885,Lewis,,Swift,1820,1913,Refractor,16
0049,1885,Lewis,,Swift,1820,1913,Refractor,16
0050,1865,Gaspare,Stanislao,Ferrari,1834,1903,Refractor,9.5
0051,1885,Lewis,,Swift,1820,1913,Refractor,16
0052,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0053,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0054,1886,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0055,1826,James,,Dunlop,1793,1848,Reflector,9
0056,1825,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0057,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0058,1886,Lewis,,Swift,1820,1913,Refractor,16
0059,1885,Ormond,,Stone,1847,1933,Refractor,26
0060,1882,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0061,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0062,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0063,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0064,1886,Lewis,,Swift,1820,1913,Refractor,16
0065,1886,Frank,,Muller,1862,1917,Refractor,26
0066,1886,Frank,,Muller,1862,1917,Refractor,26
0067,1855,William,,Parsons,1800,1867,Reflector,72
0068,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0069,1855,William,,Parsons,1800,1867,Reflector,72
0070,1855,William,,Parsons,1800,1867,Reflector,72
0071,1855,William,,Parsons,1800,1867,Reflector,72
0072,1855,William,,Parsons,1800,1867,Reflector,72
0073,1886,Lewis,,Swift,1820,1913,Refractor,16
0074,1855,William,,Parsons,1800,1867,Reflector,72
0075,1886,Lewis,,Swift,1820,1913,Refractor,16
0076,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0077,1886,Frank,,Muller,1862,1917,Refractor,26
0078,1879,Carl,Frederick,Pechüle,1843,1914,Refractor,11
0079,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0080,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0081,1873,Ralph,,Copeland,1837,1905,Reflector,72
0082,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0083,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0084,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0085,1873,Ralph,,Copeland,1837,1905,Reflector,72
0086,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0087,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0088,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0089,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0090,1854,William,,Parsons,1800,1867,Reflector,72
0091,1854,William,,Parsons,1800,1867,Reflector,72
0092,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0093,1854,William,,Parsons,1800,1867,Reflector,72
0094,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0095,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0096,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0097,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0098,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0099,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0100,1885,Lewis,,Swift,1820,1913,Refractor,16
0101,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0102,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0103,1829,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0104,1751,Nicolas-Louis,,de Lacaille,1713,1762,Refractor,0.5
0105,1884,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0106,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0107,1866,Otto,Wilhelm,von Struve,1819,1905,Refractor,15
0108,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0109,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0110,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0111,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0112,1885,Lewis,,Swift,1820,1913,Refractor,16
0113,1876,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0114,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0115,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0116,1865,Gaspare,Stanislao,Ferrari,1834,1903,Refractor,9.5
0117,1863,Albert,,Marth,1828,1897,Reflector,48
0118,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
