provider|filename|objects|description

AAO|aat052.jpg|5128|The nearby radio source Centaurus A (NGC 5128) looks like an elliptical galaxy, crossed by a broad, irregular dust lane. The dark band is probably the remains of a dusty spiral galaxy which is being absorbed by the giant elliptical. The three plates which were combined to make this colour picture have been copied to enhance the fine detail of the dust lane and to suppress the bright background of the elliptical galaxy. This process reveals many tiny red star-forming regions, especially prominent towards the end of the dust lane, and the clumps of young blue stars recently formed from them. The curious green star in the dust lane is because the blue and green-light plates were taken when supernova 1986g had just appeared, while the red-light plate was taken a year later when the supernova had faded. This galaxy has a huge, faint halo of stars seen in this very deep image made using special photographic techniques.

AAO|aat008.jpg|5236|M83 is in the huge constellation of Hydra, and is thought to be very like our own Galaxy, the Milky Way, but seen from above one of its poles and at a distance of about 15 million light years. Composed of billions of stars and huge clouds of dust and gas, this object is one of the finest examples of a spiral galaxy. It shows a concentration of older, yellow stars in its central nucleus with younger, blue stars and patchy red clouds of glowing gas and dark dust lanes in the trailing spiral arms. The massive blue stars occasionally explode as supernovae; at least eight have been seen in Messier 83 in the last 70 years.

AAO|aat017.jpg|2997|NGC 2997 is a fine southern spiral galaxy seen from a distance of about 45 million light years. It is in Antlia and is inclined at about 45 degrees to our line of sight, revealing its internal structure and giving the galaxy an oval appearance. Seen face-on, NGC 2997 would look rather like Messier 83. Like most spirals, the galaxy has two prominent spiral arms, which appear to originate in the yellow nucleus, are peppered with bright red blobs of ionised hydrogen which are similar to regions of star formation in our own Milky Way. Within these gas clouds are produced the hot blue stars which generate most of the light in the arms of the galaxy. A much older population of yellowish stars are concentrated around the nucleus. A much deeper image shows that the galaxy is much bigger than it appears above.

AAO|aat023.jpg|253|A mere 10 million light years away, NGC 253 is one of the nearest spiral galaxies, a member of a small group straggling across the southern constellation of Sculptor. It appears elongated because we see it almost edge-on. This galaxy is also one of the dustiest galaxies known and much of its internal detail is hidden by obscuring matter which can be seen as dark patches against the background stars. Despite the obscuration, two spiral arms and many bluish clusters of stars can be seen around the edge of the galaxy. NGC 253 is so close to us that some of the brightest stars are apparent as individuals within the spiral arms. The galaxy is also much bigger than it appears here. On a very deep image the spiral structure is buried in an almost featureless halo, unremarkable except for the bulge at its southern end, which has no obvious counterpart in the brighter regions of the galaxy.

AAO|aat026.jpg|6822|NGC 6822 is one of the nearest galaxies to the Milky Way and is thus a member of a small cluster known as the Local Group to which our Galaxy belongs. It is close enough to be resolved into individual stars, though because of its distance (about 1.8 million light years) only the brightest are seen, even with a telescope as powerful as the AAT. The galaxy is in the direction of Sagittarius, so is seen through a rich field of stars. Like the nearby Large Magellanic Cloud, NGC 6822 seems to be without symmetry and is classified as an irregular. At one end of a prominent bar a few clouds of glowing gas can be seen; at the other, bright bluish stars are scattered out into what appears to be the first signs of a straggling spiral arm.

AAO|aat041.jpg|4027|This galaxy is of interest because of its similarity to the Large Magellanic Cloud, (LMC) our nearest extra-galactic neighbour. Like the LMC, its light comes predominantly from young stars, which are hotter than the Sun and give the galaxy a bluish colour. However, because this galaxy is over 80 million light-years distant we see only the integrated light of millions of unresolved stars, rather than the individuals we see in the LMC. NGC 4027 has a somewhat distorted appearance and an elongated spiral arm, probably due to the gravitational effect of a smaller companion galaxy, not visible in this photograph but rather obvious on a much deeper image. NGC 4027 is less than half a degree south of the Antennae interacting galaxies.

