NGC Number,Other names, Object type,Constellation,Right ascension(J2000),Declination (J2000),Apparent magnitude

0001,,Spiral galaxy,Pegasus,00h 07m 15.8s,+27° 42′ 29″,13.65,
0002,,Spiral galaxy,Pegasus,00h 07m 17.1s,+27° 40′ 42″,14.96,
0003,,Lenticular galaxy,Pisces,00h 07m 16.8s,+08° 18′ 06″,14.2,
0004,,Galaxy,Pisces,00h 07m 24.4s,+08° 22′ 26″,16.8,
0005,,Elliptical galaxy,Andromeda,00h 07m 48.9s,+35° 21′ 44″,14.33,
0006,(Duplicate of NGC 20),Lenticular galaxy,Andromeda,00h 09m 32.7s,+33° 18′ 31″,14.04,
0007,,Spiral galaxy,Sculptor,00h 08m 20.9s,-29° 54′ 54″,13.47,
0008,,Double star,Pegasus,00h 08m 45.3s,+23° 50′ 20″,,
0009,,Spiral galaxy,Pegasus,00h 08m 54.7s,+23° 49′ 02″,14.5,
0010,,Spiral galaxy,Sculptor,00h 08m 34.5s,-33° 51′ 31″,13,
0011,,Spiral galaxy,Andromeda,00h 08m 42.5s,+37° 26′ 52″,14.5,
0012,,Spiral galaxy,Pisces,00h 08m 44.8s,+04° 36′ 45″,14.5,
0013,,Spiral galaxy,Andromeda,00h 08m 47.8s,+33° 25′ 58″,14.2,
0014,,Irregular galaxy,Pegasus,00h 08m 46.4s,+15° 48′ 59″,13.3,
0015,,Spiral galaxy,Pegasus,00h 09m 02.5s,+21° 37′ 27″,14.9,
0016,,Lenticular galaxy,Pegasus,00h 09m 04.3s,+27° 43′ 45″,13.0,
0017,,Spiral galaxy,Cetus,00h 11m 06.60s,-12° 06′ 26″,14.0,
0018,,Double star,Pegasus,00h 09m 23.1s,+27° 43′ 55″, 14.0,
0019,,Spiral galaxy,Andromeda,00h 10m 40.9s,+32° 58′ 59″, 14.0,
0020,,Lenticular galaxy,Andromeda,00h 09m 32.8s,+33° 18′ 31″,14.5,
0021,,Spiral galaxy,Andromeda,00h 10m 41.0s,+32° 58′ 57″,13.9,
0022,,Spiral galaxy,Pegasus,00h 09m 48.3s,+27° 49′ 56″,14.9,
0023,,Spiral galaxy,Pegasus,00h 09m 53.4s,+25° 55′ 27″,12.5,
0024,,Spiral galaxy,Sculptor,00h 09m 56.5s,-24° 57′ 48″,12.1,
0025,,Lenticular galaxy,Phoenix,00h 10m 00.8s,-57° 01′ 07″,15.5,
0026,,Spiral galaxy,Pegasus,00h 10m 26.1s,+25° 49′ 55″,13.9,
0027,,Spiral galaxy,Andromeda,00h 10m 32.8s,+28° 59′ 47″,14.5,
0028,,Elliptical galaxy,Phoenix,00h 10m 25.1s,-56° 59′ 23″,,
0029,,Spiral galaxy,Andromeda,00h 10m 47.1s,+33° 21′ 09″,14.5,
